Designator,Mid X,Mid Y,Layer,Rotation
LED1,37.61,42.4,Top,180
LED2,33.85,42.26,Top,180
LED3,30.25,42.35,Top,180
R2,23.8,24.4,Top,180
R4,37.64,45.83,Top,90
R5,33.77,45.79,Top,90
R6,30.29,45.66,Top,90
R7,29.4,24.4,Top,180
