Designator,Mid X,Mid Y,Layer,Rotation
LED1,26,57.6,Top,270
LED2,32.8,57.6,Top,270
LED3,39.4,57.6,Top,270
R2,23.8,24.4,Top,180
R4,29.4,57.6,Top,0
R5,36,57.6,Top,0
R6,42.6,57.6,Top,0
R7,29.4,24.4,Top,180
